genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
1,Saba,Beautiful Smile,475SvHOt2z2mp5dK2pjSJ8,56,0.278,0.889,171013,0.596,0,A,0.0798,-8.23,Minor,0.397,97.994,4-May,0.899
1,Migos,Freak No More,3H7UfOkl5vh9sZ07nxSbUb,56,0.0506,0.793,207682,0.455,0,F,0.115,-7.195,Minor,0.368,125.921,4-Apr,0.145
1,Ashanti,Baby,6cZPfzVtkicrA3CyjqYKhu,55,0.0103,0.669,265707,0.576,0,C,0.04,-6.475,Major,0.184,79.042,4-Apr,0.456
1,Earl Sweatshirt,Grief,47A4a2ZxJaZz5nBME2HtXs,54,0.479,0.645,250640,0.589,0.158,G#,0.0924,-6.171,Major,0.173,89.971,4-Apr,0.616
1,Saba,HEAVEN ALL AROUND ME,7o2IbwyONZhbwYmjYXtTF4,56,0.346,0.678,212840,0.393,0,G,0.0897,-11.062,Major,0.0738,119.997,4-Apr,0.0975
1,French Montana,A Lie,1vVNlXi8gf8tZ7OhnEs4VE,61,0.0235,0.516,226790,0.792,0,C#,0.404,-5.38,Minor,0.216,121.189,4-May,0.524
1,Wiz Khalifa,Goin Hard,2UTYdy4gUEhmg9TFkVlydd,56,0.0054,0.879,128575,0.827,0.000244,A#,0.229,-6.435,Minor,0.119,83.978,4-Apr,0.539
1,Trey Songz,Song Goes Off,7L87B1YWTT11I0mSAEYEOF,61,0.0811,0.678,244280,0.462,0,C,0.11,-7.842,Major,0.0628,129.866,4-Apr,0.121
1,Brandy,Full Moon,0pLmfgIANOX9FB9uZDU43x,58,0.358,0.692,248933,0.656,0.0029,A#,0.0929,-4.81,Minor,0.151,105.994,4-Apr,0.629
1,Mac Miller,In The Bag,7odIekt1GqLVEAAWdnd9mJ,56,0.301,0.717,275507,0.634,0,C#,0.396,-6.887,Major,0.409,143.812,4-Apr,0.564
1,Sheck Wes,Kyrie,3cT2KPDofP6iN0zfxAoALu,57,0.0335,0.687,167107,0.701,0,F#,0.0851,-6.054,Major,0.244,159.915,4-Apr,0.372
